customer_id,last_txn_date,activity_status
C106,2023-12-27,Dormant
C107,2025-04-02,Active
C108,2024-08-19,Active
C109,2023-12-26,Dormant
C110,2024-10-13,Active
C111,2022-09-20,Dormant
C112,2024-01-05,Dormant
C113,2014-11-06,Dormant
C114,2022-08-06,Dormant
C115,2023-04-10,Dormant
C116,2024-08-13,Active
C117,2025-07-16,Active
C118,2015-01-22,Dormant
C119,2023-09-03,Dormant
C120,2025-04-20,Active
C5001,2026-03-09,Active
C5002,2026-01-21,Active
C5003,2026-03-15,Active
C5004,2026-01-05,Active
C5005,2026-03-24,Active
C5006,2026-03-24,Active
C5007,2026-03-13,Active
C5008,2026-01-31,Active
C5009,2026-02-08,Active
C5010,2026-03-02,Active
C5011,2026-01-06,Active
C5012,2025-12-17,Active
C5013,2025-12-17,Active
C5014,2026-01-20,Active
C5015,2026-01-14,Active
C5016,2025-12-25,Active
C5017,2025-12-29,Active
C5018,2026-02-20,Active
C5019,2025-12-20,Active
C5020,2026-02-06,Active
C5021,2026-01-01,Active
C5022,2026-01-07,Active
C5023,2026-02-09,Active
C5024,2025-12-21,Active
C5025,2026-01-15,Active
C5026,2025-12-20,Active
C5027,2026-03-10,Active
C5028,2026-01-27,Active
C5029,2025-12-12,Active
C5030,2026-01-07,Active
C5031,2026-02-14,Active
C5032,2026-01-25,Active
C5033,2026-03-23,Active
C5034,2026-03-06,Active
C5035,2025-12-26,Active
C5036,2025-12-11,Active
C5037,2026-02-01,Active
C5038,2026-02-27,Active
C5039,2026-01-17,Active
C5040,2026-03-18,Active
C5041,2026-01-15,Active
C5042,2026-03-19,Active
C5043,2026-03-08,Active
C5044,2026-01-04,Active
C5045,2025-12-25,Active
C5046,2026-01-02,Active
C5047,2026-03-17,Active
C5048,2026-03-05,Active
C5049,2026-03-15,Active
C5050,2026-03-17,Active
C5051,2025-12-31,Active
C5052,2026-01-15,Active
C5053,2026-02-09,Active
C5054,2026-01-28,Active
C5055,2026-02-17,Active
C5056,2026-02-22,Active
C5057,2026-02-28,Active
C5058,2026-01-24,Active
C5059,2026-01-19,Active
C5060,2025-12-31,Active
C5061,2025-12-21,Active
C5062,2026-02-21,Active
C5063,2026-02-23,Active
C5064,2026-02-08,Active
C5065,2026-03-07,Active
C5066,2026-03-31,Active
C5067,2025-12-31,Active
C5068,2026-02-27,Active
C5069,2026-03-12,Active
C5070,2025-12-10,Active
C5071,2026-02-26,Active
C5072,2026-01-21,Active
C5073,2025-12-31,Active
C5074,2026-03-16,Active
C5075,2026-02-10,Active
C5076,2026-03-04,Active
C5077,2025-12-28,Active
C5078,2026-03-18,Active
C5079,2026-01-03,Active
C5080,2026-03-19,Active
C5081,2026-03-22,Active
C5082,2026-02-13,Active
C5083,2026-01-06,Active
C5084,2026-02-26,Active
C5085,2026-02-04,Active
C5086,2026-01-26,Active
C5087,2026-03-20,Active
C5088,2026-04-03,Active
C5089,2025-12-30,Active
C5090,2026-03-19,Active
C5091,2026-01-28,Active
C5092,2026-04-02,Active
C5093,2025-12-20,Active
C5094,2026-02-01,Active
C5095,2025-12-24,Active
C5096,2026-02-16,Active
C5097,2026-01-16,Active
C5098,2026-02-17,Active
C5099,2026-02-02,Active
C5100,2026-03-30,Active
C5101,2026-01-24,Active
C5102,2025-12-27,Active
C5103,2025-12-13,Active
C5104,2026-01-12,Active
C5105,2026-01-17,Active
C5106,2026-02-24,Active
C5107,2026-03-04,Active
C5108,2026-03-27,Active
C5109,2026-03-25,Active
C5110,2026-02-22,Active
C5111,2026-01-22,Active
C5112,2026-01-13,Active
C5113,2026-02-24,Active
C5114,2026-02-07,Active
C5115,2026-01-29,Active
C5116,2025-12-10,Active
C5117,2026-03-18,Active
C5118,2026-03-02,Active
C5119,2026-01-17,Active
C5120,2026-02-18,Active
C5121,2026-03-19,Active
C5122,2026-01-05,Active
C5123,2026-02-04,Active
C5124,2026-03-15,Active
C5125,2025-12-17,Active
C5126,2026-01-12,Active
C5127,2025-12-25,Active
C5128,2026-02-18,Active
C5129,2025-12-23,Active
C5130,2026-04-02,Active
C5131,2026-01-31,Active
C5132,2026-01-20,Active
C5133,2026-04-01,Active
C5134,2025-12-12,Active
C5135,2026-04-01,Active
C5136,2026-02-14,Active
C5137,2026-03-22,Active
C5138,2026-01-25,Active
C5139,2026-02-08,Active
C5140,2026-02-21,Active
C5141,2026-01-21,Active
C5142,2026-01-17,Active
C5143,2025-12-12,Active
C5144,2025-12-19,Active
C5145,2026-01-29,Active
C5146,2025-12-12,Active
C5147,2026-03-29,Active
C5148,2025-12-16,Active
C5149,2026-01-21,Active
C5150,2025-12-13,Active
C5151,2026-01-20,Active
C5152,2026-01-07,Active
C5153,2026-02-07,Active
C5154,2025-12-22,Active
C5155,2025-12-31,Active
C5156,2026-03-12,Active
C5157,2026-01-11,Active
C5158,2026-01-26,Active
C5159,2026-03-02,Active
C5160,2025-12-25,Active
C5161,2025-12-25,Active
C5162,2025-12-23,Active
C5163,2025-12-29,Active
C5164,2026-03-17,Active
C5165,2026-01-04,Active
C5166,2025-12-27,Active
C5167,2026-02-03,Active
C5168,2026-01-15,Active
C5169,2026-03-11,Active
C5170,2025-12-28,Active
C5171,2026-01-27,Active
C5172,2025-12-17,Active
C5173,2026-01-19,Active
C5174,2026-03-30,Active
C5175,2026-02-09,Active
C5176,2026-03-07,Active
C5177,2026-01-18,Active
C5178,2026-01-13,Active
C5179,2026-03-09,Active
C5180,2025-12-29,Active
C5181,2026-01-16,Active
C5182,2026-02-06,Active
C5183,2025-12-11,Active
C5184,2026-01-14,Active
C5185,2025-12-14,Active
C5186,2026-03-27,Active
C5187,2026-02-18,Active
C5188,2026-02-26,Active
C5189,2026-03-16,Active
C5190,2025-12-16,Active
C5191,2025-12-14,Active
C5192,2026-01-29,Active
C5193,2026-03-23,Active
C5194,2026-03-22,Active
C5195,2026-03-01,Active
C5196,2026-03-09,Active
C5197,2026-02-27,Active
C5198,2026-02-25,Active
C5199,2026-01-24,Active
C5200,2026-02-07,Active
C5201,2025-12-14,Active
C5202,2026-02-08,Active
C5203,2025-12-13,Active
C5204,2026-03-18,Active
C5205,2026-01-16,Active
C5206,2025-12-28,Active
C5207,2026-01-14,Active
C5208,2026-01-29,Active
C5209,2026-02-11,Active
C5210,2025-12-14,Active
C5211,2026-01-29,Active
C5212,2026-01-07,Active
C5213,2026-02-22,Active
C5214,2026-03-27,Active
C5215,2026-03-07,Active
C5216,2026-01-26,Active
C5217,2026-01-01,Active
C5218,2026-02-13,Active
C5219,2026-02-01,Active
C5220,2026-01-26,Active
C5221,2026-01-04,Active
C5222,2026-02-15,Active
C5223,2026-01-13,Active
C5224,2025-12-29,Active
C5225,2026-01-31,Active
C5226,2026-02-24,Active
C5227,2026-01-24,Active
C5228,2026-02-07,Active
C5229,2026-03-04,Active
C5230,2026-03-27,Active
C5231,2026-01-15,Active
C5232,2026-01-07,Active
C5233,2026-04-04,Active
C5234,2026-02-27,Active
C5235,2026-03-20,Active
C5236,2026-04-01,Active
C5237,2026-03-02,Active
C5238,2026-03-05,Active
C5239,2026-04-03,Active
C5240,2025-12-17,Active
C5241,2026-01-28,Active
C5242,2026-03-12,Active
C5243,2026-02-11,Active
C5244,2026-01-29,Active
C5245,2025-12-28,Active
C5246,2026-01-11,Active
C5247,2026-02-08,Active
C5248,2026-01-18,Active
C5249,2025-12-28,Active
C5250,2026-03-15,Active
C5251,2026-01-21,Active
C5252,2026-01-21,Active
C5253,2025-12-26,Active
C5254,2026-02-12,Active
C5255,2026-02-06,Active
C5256,2025-12-28,Active
C5257,2026-01-21,Active
C5258,2026-03-29,Active
C5259,2025-12-10,Active
C5260,2025-12-29,Active
C5261,2026-02-27,Active
C5262,2026-02-22,Active
C5263,2026-02-11,Active
C5264,2025-12-25,Active
C5265,2026-03-08,Active
C5266,2026-03-30,Active
C5267,2026-03-08,Active
C5268,2025-12-25,Active
C5269,2025-12-28,Active
C5270,2025-12-24,Active
C5271,2026-01-02,Active
C5272,2026-01-28,Active
C5273,2026-01-24,Active
C5274,2026-02-23,Active
C5275,2026-03-20,Active
C5276,2026-01-21,Active
C5277,2025-12-23,Active
C5278,2026-03-15,Active
C5279,2026-01-03,Active
C5280,2025-12-21,Active
C5281,2026-02-25,Active
C5282,2025-12-16,Active
C5283,2026-03-07,Active
C5284,2026-03-24,Active
C5285,2025-12-26,Active
C5286,2026-01-24,Active
C5287,2026-02-13,Active
C5288,2026-02-22,Active
C5289,2026-02-01,Active
C5290,2026-03-11,Active
C5291,2026-02-06,Active
C5292,2026-02-02,Active
C5293,2026-03-10,Active
C5294,2026-01-06,Active
C5295,2026-01-07,Active
C5296,2026-01-13,Active
C5297,2026-03-12,Active
C5298,2026-02-25,Active
C5299,2026-03-28,Active
C5300,2026-02-26,Active
C5301,2026-01-10,Active
C5302,2026-01-22,Active
C5303,2025-12-23,Active
C5304,2026-02-13,Active
C5305,2026-02-10,Active
C5306,2026-03-23,Active
C5307,2025-12-30,Active
C5308,2025-12-28,Active
C5309,2026-03-16,Active
C5310,2026-03-03,Active
C5311,2026-04-04,Active
C5312,2026-03-25,Active
C5313,2026-01-10,Active
C5314,2025-12-12,Active
C5315,2025-12-10,Active
C5316,2026-03-16,Active
C5317,2026-01-17,Active
C5318,2026-02-06,Active
C5319,2026-02-26,Active
C5320,2026-02-26,Active
C5321,2026-02-12,Active
C5322,2026-02-19,Active
C5323,2026-03-29,Active
C5324,2026-02-14,Active
C5325,2025-12-18,Active
C5326,2025-12-26,Active
C5327,2026-02-06,Active
C5328,2026-02-09,Active
C5329,2026-01-04,Active
C5330,2026-01-18,Active
C5331,2026-03-17,Active
C5332,2026-03-09,Active
C5333,2026-01-23,Active
C5334,2026-03-29,Active
C5335,2026-01-08,Active
C5336,2026-03-13,Active
C5337,2026-01-19,Active
C5338,2026-03-15,Active
C5339,2025-12-18,Active
C5340,2025-12-20,Active
C5341,2026-04-04,Active
C5342,2026-01-11,Active
C5343,2026-03-12,Active
C5344,2026-03-05,Active
C5345,2026-03-13,Active
C5346,2026-01-06,Active
C5347,2026-01-21,Active
C5348,2026-01-06,Active
C5349,2026-01-16,Active
C5350,2026-03-25,Active
C5351,2025-12-15,Active
C5352,2026-03-07,Active
C5353,2025-12-12,Active
C5354,2026-02-02,Active
C5355,2026-02-21,Active
C5356,2026-01-06,Active
C5357,2026-03-06,Active
C5358,2026-03-06,Active
C5359,2025-12-13,Active
C5360,2026-02-05,Active
C5361,2026-01-20,Active
C5362,2026-02-15,Active
C5363,2026-01-18,Active
C5364,2026-02-11,Active
C5365,2026-01-02,Active
C5366,2026-02-14,Active
C5367,2026-01-15,Active
C5368,2025-12-23,Active
C5369,2026-01-24,Active
C5370,2026-01-24,Active
C5371,2026-03-24,Active
C5372,2025-12-17,Active
C5373,2026-03-05,Active
C5374,2026-02-25,Active
C5375,2025-12-27,Active
C5376,2026-01-05,Active
C5377,2026-02-17,Active
C5378,2026-01-25,Active
C5379,2026-02-25,Active
C5380,2025-12-14,Active
C5381,2025-12-22,Active
C5382,2026-01-17,Active
C5383,2026-04-01,Active
C5384,2026-04-04,Active
C5385,2026-03-10,Active
C5386,2026-01-01,Active
C5387,2026-01-02,Active
C5388,2026-02-19,Active
C5389,2026-02-12,Active
C5390,2026-01-17,Active
C5391,2026-03-27,Active
C5392,2025-12-22,Active
C5393,2025-12-10,Active
C5394,2026-03-09,Active
C5395,2026-03-22,Active
C5396,2026-01-11,Active
C5397,2026-03-13,Active
C5398,2025-12-28,Active
C5399,2026-03-08,Active
C5400,2026-03-26,Active
C5407,2023-11-07,Dormant
C5408,2024-01-13,Dormant
C5409,2024-05-30,Active
C5410,2025-04-14,Dormant
C5411,2025-06-27,Dormant
C5412,2025-05-25,Active
C5413,2025-06-23,Active
C5414,2025-09-15,Dormant
C5415,2024-08-08,Dormant
C5416,2024-09-25,Active
C5417,2024-05-15,Active
C5418,2023-12-08,Active
C5419,2024-03-15,Dormant
C5420,2024-07-31,Dormant
C5421,2024-12-03,Active
C5422,2025-05-30,Dormant
C5423,2024-01-24,Dormant
C5424,2024-12-14,Active
C5425,2024-08-14,Dormant
C5426,2024-06-18,Active
C5427,2024-04-22,Dormant
C5428,2024-06-26,Active
C5429,2024-11-01,Dormant
C5430,2024-03-21,Dormant
C5431,2025-05-05,Active
C5432,2025-04-13,Active
C5433,2025-05-30,Dormant
C5434,2024-01-14,Dormant
C5435,2025-08-27,Dormant
C5436,2024-08-26,Dormant
C5437,2024-12-21,Active
C5438,2024-11-10,Dormant
C5439,2025-08-21,Dormant
C5440,2024-10-31,Dormant
C5441,2025-04-06,Dormant
C5442,2025-06-16,Active
C5443,2025-05-28,Dormant
C5444,2024-10-04,Active
C5445,2023-12-19,Active
C5446,2024-09-29,Dormant
C5447,2024-03-05,Dormant
C5448,2024-03-07,Dormant
C5449,2023-11-22,Active
C5450,2024-03-11,Dormant
C5451,2024-03-27,Dormant
C5452,2025-01-27,Dormant
C5453,2025-01-12,Active
C5454,2025-07-08,Dormant
C5455,2025-08-29,Active
C5456,2024-12-23,Dormant
C5457,2024-07-01,Dormant
C5458,2024-06-23,Dormant
C5459,2024-05-23,Active
C5460,2024-10-13,Dormant
C5461,2024-08-11,Active
C5462,2025-08-18,Active
C5463,2025-04-17,Active
C5464,2024-09-19,Dormant
C5465,2024-05-29,Dormant
C5466,2023-12-05,Active
C5467,2025-03-22,Active
C5468,2024-04-30,Dormant
C5469,2025-01-03,Dormant
C5470,2025-02-08,Dormant
C5471,2025-07-03,Active
C5472,2024-09-29,Active
C5473,2023-12-28,Active
C5474,2025-01-08,Dormant
C5475,2024-07-24,Dormant
C5476,2024-08-25,Dormant
C5477,2025-09-06,Active
C5478,2025-03-08,Dormant
C5479,2025-09-02,Active
C5480,2024-07-05,Active
C5481,2024-12-31,Dormant
C5482,2023-12-08,Active
C5483,2024-01-16,Active
C5484,2025-01-04,Dormant
C5485,2024-09-12,Active
C5486,2024-12-21,Active
C5487,2025-08-09,Active
C5488,2023-12-16,Active
C5489,2024-06-13,Dormant
C5490,2024-09-23,Dormant
C5491,2024-03-16,Active
C5492,2024-12-22,Active
C5493,2024-02-05,Dormant
C5494,2024-02-18,Dormant
C5495,2024-12-03,Active
C5496,2024-02-05,Dormant
C5497,2025-03-20,Active
C5498,2023-11-10,Dormant
C5499,2025-09-03,Active
C5500,2025-02-19,Active
C5501,2022-11-04,Dormant
C5502,2023-03-29,Dormant
C5503,2022-04-30,Dormant
C5504,2023-05-01,Dormant
C5505,2023-02-20,Dormant
C5506,2022-11-08,Dormant
C5507,2022-07-14,Dormant
C5508,2023-04-30,Dormant
C5509,2022-04-11,Dormant
C5510,2023-04-13,Dormant
C5511,2022-11-29,Dormant
C5512,2023-05-17,Dormant
C5513,2022-09-19,Dormant
C5514,2023-03-27,Dormant
C5515,2022-03-03,Dormant
C5516,2022-03-26,Dormant
C5517,2022-12-08,Dormant
C5518,2022-12-19,Dormant
C5519,2023-08-01,Dormant
C5520,2023-11-02,Dormant
C5521,2023-02-11,Dormant
C5522,2022-09-08,Dormant
C5523,2022-08-23,Dormant
C5524,2022-03-01,Dormant
C5525,2023-08-31,Dormant
C5526,2023-09-24,Dormant
C5527,2022-02-25,Dormant
C5528,2022-01-11,Dormant
C5529,2022-05-06,Dormant
C5530,2023-09-01,Dormant
C5531,2023-01-31,Dormant
C5532,2023-04-13,Dormant
C5533,2023-04-17,Dormant
C5534,2023-11-28,Dormant
C5535,2023-10-28,Dormant
C5536,2023-05-17,Dormant
C5537,2023-08-20,Dormant
C5538,2023-07-14,Dormant
C5539,2023-04-08,Dormant
C5540,2023-06-03,Dormant
C5541,2022-05-24,Dormant
C5542,2022-10-26,Dormant
C5543,2023-09-07,Dormant
C5544,2022-11-13,Dormant
C5545,2023-12-11,Dormant
C5546,2023-04-15,Dormant
C5547,2023-05-16,Dormant
C5548,2023-02-08,Dormant
C5549,2023-01-05,Dormant
C5550,2023-08-17,Dormant
C5551,2024-10-08,Active
C5552,2024-10-08,Active
C5553,2024-10-08,Active
C5554,2024-10-08,Active
C5555,2024-10-08,Active
C5556,2024-10-08,Active
C5557,2024-10-08,Active
C5558,2023-08-01,Dormant
C5559,2023-08-24,Dormant
C5560,2023-11-20,Dormant
C5561,2022-08-07,Dormant
C5562,2022-11-05,Dormant
C5563,2022-05-23,Dormant
C5564,2023-06-29,Dormant
C5565,2023-12-31,Dormant
C5566,2022-04-20,Dormant
C5567,2023-06-08,Dormant
C5568,2022-12-14,Dormant
C5569,2023-12-08,Dormant
C5570,2022-01-09,Dormant
C5571,2023-10-06,Dormant
C5572,2023-11-05,Dormant
C5573,2022-01-27,Dormant
C5574,2022-02-06,Dormant
C5575,2023-09-20,Dormant
C5576,2023-02-01,Dormant
C5577,2022-02-28,Dormant
C5578,2022-09-09,Dormant
C5579,2023-06-15,Dormant
C5580,2023-07-28,Dormant
C5581,2022-02-18,Dormant
C5582,2022-05-22,Dormant
C5583,2022-07-22,Dormant
C5584,2023-07-10,Dormant
C5585,2022-03-24,Dormant
C5586,2023-10-01,Dormant
C5587,2023-06-05,Dormant
C5588,2022-12-23,Dormant
C5589,2022-11-15,Dormant
C5590,2022-11-14,Dormant
C5591,2022-03-11,Dormant
C5592,2022-03-17,Dormant
C5593,2022-07-15,Dormant
C5594,2023-03-05,Dormant
C5595,2022-12-26,Dormant
C5596,2023-09-24,Dormant
C5597,2022-04-22,Dormant
C5598,2022-10-28,Dormant
C5599,2022-02-20,Dormant
C5600,2022-02-18,Dormant
C5601,2022-04-11,Dormant
C5602,2023-11-13,Dormant
C5603,2022-05-07,Dormant
C5604,2023-04-01,Dormant
C5605,2023-07-23,Dormant
C5606,2022-10-11,Dormant
C5607,2023-08-01,Dormant
C5608,2023-06-16,Dormant
C5609,2022-12-27,Dormant
C5610,2022-12-16,Dormant
C5611,2022-10-17,Dormant
C5612,2022-05-21,Dormant
C5613,2023-04-02,Dormant
C5614,2023-01-11,Dormant
C5615,2022-02-01,Dormant
C5616,2023-06-23,Dormant
C5617,2023-10-25,Dormant
C5618,2022-10-05,Dormant
C5619,2023-10-26,Dormant
C5620,2022-06-22,Dormant
C5621,2023-05-27,Dormant
C5622,2022-05-23,Dormant
C5623,2022-11-09,Dormant
C5624,2023-02-05,Dormant
C5625,2023-07-23,Dormant
C5626,2022-12-17,Dormant
C5627,2023-05-11,Dormant
C5628,2022-11-30,Dormant
C5629,2023-08-10,Dormant
C5630,2022-10-14,Dormant
C5631,2023-03-02,Dormant
C5632,2022-02-27,Dormant
C5633,2022-04-28,Dormant
C5634,2022-07-09,Dormant
C5635,2023-09-08,Dormant
C5636,2022-06-10,Dormant
C5637,2023-01-08,Dormant
C5638,2023-03-20,Dormant
C5639,2022-11-04,Dormant
C5640,2022-12-18,Dormant
C5641,2022-01-29,Dormant
C5642,2023-03-26,Dormant
C5643,2022-01-26,Dormant
C5644,2023-01-27,Dormant
C5645,2022-08-17,Dormant
C5646,2023-01-31,Dormant
C5647,2022-11-18,Dormant
C5648,2022-12-07,Dormant
C5649,2022-06-11,Dormant
C5650,2022-04-18,Dormant
C5651,2023-07-29,Dormant
C5652,2023-07-12,Dormant
C5653,2023-04-07,Dormant
C5654,2023-12-13,Dormant
C5655,2023-01-04,Dormant
C5656,2023-12-04,Dormant
C5657,2023-08-21,Dormant
C5658,2022-02-04,Dormant
C5659,2022-06-30,Dormant
C5660,2022-07-02,Dormant
C5661,2023-02-25,Dormant
C5662,2023-03-04,Dormant
C5663,2022-09-15,Dormant
C5664,2022-07-29,Dormant
C5665,2022-05-09,Dormant
C5666,2023-09-08,Dormant
C5667,2022-05-27,Dormant
C5668,2022-10-15,Dormant
C5669,2022-10-15,Dormant
C5670,2022-06-14,Dormant
C5671,2022-06-02,Dormant
C5672,2022-01-30,Dormant
C5673,2022-03-24,Dormant
C5674,2023-09-08,Dormant
C5675,2022-06-01,Dormant
C5676,2022-05-11,Dormant
C5677,2023-08-04,Dormant
C5678,2023-10-17,Dormant
C5679,2023-04-05,Dormant
C5680,2023-12-10,Dormant
C5681,2022-02-18,Dormant
C5682,2022-10-31,Dormant
C5683,2022-07-19,Dormant
C5684,2022-08-13,Dormant
C5685,2022-08-09,Dormant
C5686,2022-08-09,Dormant
C5687,2022-08-06,Dormant
C5688,2022-01-22,Dormant
C5689,2023-12-16,Dormant
C5690,2022-03-31,Dormant
C5691,2023-07-30,Dormant
C5692,2022-04-02,Dormant
C5693,2022-04-21,Dormant
C5694,2023-02-13,Dormant
C5695,2022-04-13,Dormant
C5696,2023-07-21,Dormant
C5697,2023-05-09,Dormant
C5698,2023-12-12,Dormant
C5699,2023-09-12,Dormant
C5700,2023-07-15,Dormant
C5701,2022-06-11,Dormant
C5702,2023-05-15,Dormant
C5703,2023-05-24,Dormant
C5704,2022-03-06,Dormant
C5705,2022-06-28,Dormant
C5706,2023-07-03,Dormant
C5707,2022-04-16,Dormant
C5708,2023-06-09,Dormant
C5709,2022-04-16,Dormant
C5710,2022-07-02,Dormant
C5711,2022-06-11,Dormant
C5712,2023-02-01,Dormant
C5713,2023-02-01,Dormant
C5714,2023-03-05,Dormant
C5715,2022-12-07,Dormant
C5716,2023-07-24,Dormant
C5717,2022-11-27,Dormant
C5718,2022-07-02,Dormant
C5719,2023-01-03,Dormant
C5720,2022-12-26,Dormant
C5721,2022-07-24,Dormant
C5722,2022-04-10,Dormant
C5723,2022-04-22,Dormant
C5724,2023-07-23,Dormant
C5725,2023-01-25,Dormant
C5726,2022-12-18,Dormant
C5727,2022-10-07,Dormant
C5728,2022-09-14,Dormant
C5729,2023-06-28,Dormant
C5730,2022-10-03,Dormant
C5731,2022-12-07,Dormant
C5732,2023-09-24,Dormant
C5733,2023-07-30,Dormant
C5734,2022-09-19,Dormant
C5735,2022-10-24,Dormant
C5736,2023-03-16,Dormant
C5737,2023-06-10,Dormant
C5738,2023-06-03,Dormant
C5739,2022-09-08,Dormant
C5740,2022-06-03,Dormant
C5741,2022-04-15,Dormant
C5742,2023-07-24,Dormant
C5743,2023-08-31,Dormant
C5744,2022-09-26,Dormant
C5745,2022-11-13,Dormant
C5746,2022-03-24,Dormant
C5747,2022-05-23,Dormant
C5748,2022-10-13,Dormant
C5749,2022-10-21,Dormant
C5750,2022-01-03,Dormant
C5751,2023-02-12,Dormant
C5752,2023-11-30,Dormant
C5753,2023-03-03,Dormant
C5754,2023-09-01,Dormant
C5755,2022-03-14,Dormant
C5756,2023-06-27,Dormant
C5757,2022-10-06,Dormant
C5758,2022-01-28,Dormant
C5759,2023-03-25,Dormant
C5760,2022-01-28,Dormant
C5761,2023-07-09,Dormant
C5762,2022-11-11,Dormant
C5763,2022-07-22,Dormant
C5764,2022-10-07,Dormant
C5765,2022-10-15,Dormant
C5766,2023-05-06,Dormant
C5767,2022-04-27,Dormant
C5768,2022-03-20,Dormant
C5769,2022-09-25,Dormant
C5770,2022-01-11,Dormant
C5771,2023-09-14,Dormant
C5772,2022-07-22,Dormant
C5773,2022-08-22,Dormant
C5774,2023-07-26,Dormant
C5775,2023-08-19,Dormant
C5776,2022-05-01,Dormant
C5777,2023-09-16,Dormant
C5778,2022-08-26,Dormant
C5779,2023-12-29,Dormant
C5780,2023-09-08,Dormant
C5781,2023-04-26,Dormant
C5782,2022-09-29,Dormant
C5783,2022-12-04,Dormant
C5784,2023-12-07,Dormant
C5785,2022-07-15,Dormant
C5786,2022-07-18,Dormant
C5787,2022-07-24,Dormant
C5788,2022-01-25,Dormant
C5789,2023-02-16,Dormant
C5790,2023-12-19,Dormant
C5791,2023-11-27,Dormant
C5792,2022-09-10,Dormant
C5793,2022-10-22,Dormant
C5794,2023-10-24,Dormant
C5795,2022-09-25,Dormant
C5796,2022-08-20,Dormant
C5797,2022-10-23,Dormant
C5798,2022-05-31,Dormant
C5799,2022-10-23,Dormant
C5800,2022-10-27,Dormant
C5801,2023-07-23,Dormant
C5802,2023-04-22,Dormant
C5803,2022-05-27,Dormant
C5804,2022-05-07,Dormant
C5805,2023-12-15,Dormant
C5806,2023-07-13,Dormant
C5807,2023-12-26,Dormant
C5808,2023-11-16,Dormant
C5809,2022-06-12,Dormant
C5810,2022-01-16,Dormant
C5811,2022-10-25,Dormant
C5812,2022-06-20,Dormant
C5813,2022-04-11,Dormant
C5814,2022-08-25,Dormant
C5815,2022-01-12,Dormant
C5816,2023-03-11,Dormant
C5817,2022-07-30,Dormant
C5818,2023-11-23,Dormant
C5819,2022-03-21,Dormant
C5820,2023-06-12,Dormant
C5821,2022-01-05,Dormant
C5822,2023-04-24,Dormant
C5823,2022-07-29,Dormant
C5824,2023-04-26,Dormant
C5825,2022-05-17,Dormant
C5826,2023-05-11,Dormant
C5827,2023-08-08,Dormant
C5828,2022-12-12,Dormant
C5829,2022-05-22,Dormant
C5830,2022-01-03,Dormant
C5831,2022-06-15,Dormant
C5832,2022-08-08,Dormant
