customer_id,entity_type,customer_name,jurisdiction,industry,account_open_date,last_kyc_review_date,risk_rating
C053,INDIVIDUAL,Hannah Torres,US,Professional Services,2018-08-15,2026-02-25,Medium
C054,INDIVIDUAL,Mason James,UK,Retail,2024-09-30,2024-12-18,Medium
C055,INDIVIDUAL,Julian Bryant,US,Education,2013-08-12,2024-07-02,Medium
C056,INDIVIDUAL,Lucy Perry,UK,Construction,2023-02-13,2023-03-30,Low
C057,INDIVIDUAL,Charlotte Bell,US,Media,2025-04-18,2025-05-19,Medium
C058,INDIVIDUAL,Julio Hughes,US,Manufacturing,2022-02-20,2025-12-17,Medium
C059,INDIVIDUAL,Diego Nguyen,EU,Energy,2020-05-20,2025-01-19,Medium
C060,INDIVIDUAL,Aria Howard,US,Construction,2022-07-22,2022-11-03,Medium
C061,INDIVIDUAL,Gabriel Parker,US,Real Estate,2026-02-27,2026-04-08,Low
C062,INDIVIDUAL,Grace Patel,US,Media,2022-12-10,2025-12-31,Low
C063,INDIVIDUAL,Noah Mason,EU,Agriculture,2021-03-29,2021-07-14,High
C064,INDIVIDUAL,Victor Baker,UK,Hospitality,2024-01-14,2024-01-21,Low
C065,INDIVIDUAL,Sofia Gray,UK,Construction,2020-05-07,2025-11-01,Medium
C066,INDIVIDUAL,Victor Bennett,US,Agriculture,2025-02-13,2025-06-11,Low
C067,INDIVIDUAL,Ella Morris,US,Real Estate,2019-06-11,2026-01-28,Low
C068,INDIVIDUAL,Lucy Cooper,US,Energy,2013-04-03,2026-02-11,Low
C069,INDIVIDUAL,Lucas Bell,US,Construction,2014-11-22,2019-06-03,Low
C070,INDIVIDUAL,Sebastian Hughes,UK,Professional Services,2024-01-19,2024-03-01,Low
C071,INDIVIDUAL,James Bell,US,Energy,2018-01-11,2021-03-03,Low
C072,INDIVIDUAL,Nathan Evans,US,Education,2021-10-03,2024-12-07,Low
C073,INDIVIDUAL,Amelia Ward,EU,Logistics,2018-11-15,2019-02-10,Medium
C074,INDIVIDUAL,Olivia Mason,EU,Media,2014-04-01,2026-03-01,Medium
C075,INDIVIDUAL,Claire Kelly,US,Hospitality,2021-10-26,2024-06-03,Medium
C076,INDIVIDUAL,Elena Nguyen,UK,Energy,2016-07-01,2026-01-28,Low
C077,INDIVIDUAL,Naomi Parker,US,Manufacturing,2023-02-23,2024-11-13,Low
C078,INDIVIDUAL,Ella Cruz,US,Education,2019-09-16,2025-01-02,Medium
C079,INDIVIDUAL,Olivia Myers,US,Education,2022-07-14,,Medium
C080,INDIVIDUAL,Marco Campbell,US,Hospitality,2024-10-01,2025-02-04,Low
C081,INDIVIDUAL,Zoey Turner,US,Logistics,2023-05-06,2024-11-07,Low
C082,INDIVIDUAL,Stella Hill,US,Professional Services,2020-08-06,2022-03-27,Medium
C083,INDIVIDUAL,Henry Russell,US,Hospitality,2022-05-01,2026-02-19,Medium
C084,INDIVIDUAL,Nora Wright,US,Import/Export,2013-04-14,2019-12-21,Low
C085,INDIVIDUAL,Nora Hill,UK,Healthcare,2024-09-11,2025-01-11,Medium
C086,INDIVIDUAL,Adrian Gray,Offshore,Healthcare,2016-06-11,2025-12-28,High
C087,INDIVIDUAL,Hugo Patel,UK,Logistics,2015-06-11,2026-03-19,Medium
C088,INDIVIDUAL,Aria Brooks,EU,Retail,2021-10-21,2024-07-07,Low
C089,INDIVIDUAL,Adrian Reed,UK,Energy,2018-02-01,2023-09-15,Medium
C090,INDIVIDUAL,Ethan Rogers,UK,Education,2020-10-26,2022-11-08,Low
C091,INDIVIDUAL,Daniel Carter,US,Media,2023-08-22,2024-02-17,Low
C092,INDIVIDUAL,Julio Patel,US,Construction,2016-11-02,2025-03-23,Medium
C093,INDIVIDUAL,Aaron Brooks,US,Retail,2014-10-15,2019-05-07,Medium
C094,INDIVIDUAL,Zoey Ramos,EU,Hospitality,2025-08-28,2025-12-09,Low
C095,INDIVIDUAL,Joseph Diaz,US,Retail,2016-01-21,2024-02-01,Medium
C096,INDIVIDUAL,David Bennett,US,Software,2022-01-17,2022-07-08,Medium
C097,INDIVIDUAL,Joseph Mendoza,EU,Consulting,2013-05-15,2026-02-22,Medium
C098,INDIVIDUAL,Claire Khan,US,Energy,2014-04-30,2022-09-08,Low
C099,INDIVIDUAL,Daniel Gray,UK,Media,2019-01-11,2024-07-03,Medium
C100,INDIVIDUAL,Mia Long,US,Real Estate,2025-09-15,2026-04-09,Medium
C101,INDIVIDUAL,Maya Torres,US,Media,2021-10-12,,Medium
C102,INDIVIDUAL,Mateo Russell,UK,Real Estate,2025-08-28,2025-09-12,Medium
C103,INDIVIDUAL,Sebastian Evans,US,Healthcare,2013-12-28,2026-03-11,Low
C104,INDIVIDUAL,Elena Brooks,EU,Construction,2023-08-21,2023-12-19,Medium
C105,INDIVIDUAL,Aria Torres,US,Retail,2017-11-30,2026-03-23,Medium
C106,INDIVIDUAL,Penelope Bell,EU,Manufacturing,2016-11-09,2026-01-27,Medium
C107,INDIVIDUAL,Leo Howard,UK,Logistics,2024-06-09,2024-11-05,Low
C108,INDIVIDUAL,Maya Cook,EU,Professional Services,2025-04-17,2025-07-31,Low
C109,INDIVIDUAL,Ava Long,US,Hospitality,2025-09-26,2026-03-11,Low
C110,INDIVIDUAL,Evelyn Cruz,US,Consulting,2025-10-22,2025-12-18,Medium
C111,INDIVIDUAL,Ethan Myers,US,Agriculture,2022-12-22,2026-03-21,Medium
C112,INDIVIDUAL,Marco Ward,US,Real Estate,2021-08-18,2021-11-23,Low
C113,INDIVIDUAL,Owen Khan,EU,Hospitality,2022-03-28,2022-09-19,Low
C114,INDIVIDUAL,Gabriel Wright,US,Hospitality,2025-05-20,2025-11-13,Medium
C115,INDIVIDUAL,Leo Hunt,US,Consulting,2023-08-18,2025-02-03,Low
C116,INDIVIDUAL,Alice Flores,UK,Logistics,2020-04-17,2025-11-02,Low
C117,INDIVIDUAL,Sebastian Cruz,UK,Agriculture,2017-09-12,2023-03-22,Low
C118,INDIVIDUAL,Elena Hunt,UK,Real Estate,2013-10-20,2026-01-23,High
C119,INDIVIDUAL,Aaron Hill,US,Real Estate,2019-02-13,2019-07-09,Medium
C120,INDIVIDUAL,Stella Mendoza,Offshore,Real Estate,2016-08-15,2022-12-31,High
C5001,LEGAL_ENTITY,Apex Capital BV,EU,Wholesale Trade,2026-03-24,2026-03-12,Low
C5002,LEGAL_ENTITY,Aster Capital Inc,US,Asset Management,2026-04-01,2026-03-23,Low
C5003,LEGAL_ENTITY,Bluecrest Capital Corp,US,Private Investment,2026-03-10,2026-03-27,Low
C5004,LEGAL_ENTITY,Bridgewater Capital BV,EU,Asset Management,2026-03-29,2026-03-25,Low
C5005,LEGAL_ENTITY,Cedar Capital SA,EU,Energy Trading,2026-03-10,2026-03-22,Medium
C5006,INDIVIDUAL,Aaron Adler,EU,Real Estate,2026-03-24,2026-03-19,Low
C5007,INDIVIDUAL,Alice Adler,UK,Media,2026-04-05,2026-03-20,High
C5008,INDIVIDUAL,Amelia Adler,UK,Private Investment,2026-03-16,2026-03-16,Low
C5009,INDIVIDUAL,Andre Adler,US,Manufacturing,2026-03-10,2026-03-15,High
C5010,INDIVIDUAL,Angela Adler,Offshore,Mining Services,2026-04-08,2026-03-17,High
C5011,INDIVIDUAL,Anita Adler,US,Professional Services,2026-03-26,2026-03-24,Low
C5012,INDIVIDUAL,Arthur Adler,Offshore,Import/Export,2026-03-18,2026-03-23,Low
C5013,INDIVIDUAL,Bianca Adler,US,Pharmaceuticals,2026-04-02,2026-04-09,Low
C5014,INDIVIDUAL,Caleb Adler,US,Private Investment,2026-03-24,2026-04-01,High
C5015,INDIVIDUAL,Camila Adler,UK,Healthcare,2026-03-19,2026-03-28,Low
C5016,INDIVIDUAL,Carla Adler,EU,Technology,2026-03-29,2026-03-16,Low
C5017,LEGAL_ENTITY,Clearpath Capital LLP,UK,Technology,2026-03-26,2026-03-30,Low
C5018,INDIVIDUAL,Carmen Adler,EU,Education,2026-03-15,2026-03-19,Low
C5019,INDIVIDUAL,Charlotte Adler,UK,Shipping,2026-04-08,2026-03-13,Medium
C5020,INDIVIDUAL,Claire Adler,Offshore,Asset Management,2026-03-26,2026-04-07,Low
C5021,INDIVIDUAL,Daniel Adler,UK,Energy Trading,2026-03-11,2026-03-10,Low
C5022,INDIVIDUAL,Daria Adler,Offshore,Shipping,2026-03-15,2026-04-08,Low
C5023,INDIVIDUAL,Diego Adler,EU,Professional Services,2026-03-27,2026-04-03,Medium
C5024,LEGAL_ENTITY,Crown Capital LLC,US,Private Investment,2026-03-31,2026-03-15,Low
C5025,LEGAL_ENTITY,Evergreen Capital BV,EU,Luxury Goods,2026-03-31,2026-03-19,High
C5026,INDIVIDUAL,Dylan Adler,UK,Agribusiness,2026-03-18,2026-03-13,High
C5027,INDIVIDUAL,Elena Adler,UK,FinTech,2026-03-15,2026-03-24,Low
C5028,LEGAL_ENTITY,Falcon Capital Corp,US,Education,2026-04-09,2026-03-27,Low
C5029,INDIVIDUAL,Elijah Adler,Offshore,Shipping,2026-03-18,2026-04-09,Low
C5030,LEGAL_ENTITY,Fortress Capital LLC,US,Import/Export,2026-03-15,2026-04-07,Low
C5031,INDIVIDUAL,Emily Adler,Offshore,Consulting,2026-03-19,2026-04-06,Medium
C5032,LEGAL_ENTITY,Harbor Capital Ltd,UK,Real Estate,2026-03-19,2026-03-27,Low
C5033,INDIVIDUAL,Emma Adler,US,Construction,2026-04-02,2026-03-29,Low
C5034,INDIVIDUAL,Eva Adler,EU,Professional Services,2026-03-23,2026-03-21,Medium
C5035,INDIVIDUAL,Felix Adler,US,Luxury Goods,2026-03-19,2026-03-31,Low
C5036,INDIVIDUAL,Gabriel Adler,Offshore,Healthcare,2026-03-22,2026-03-11,Medium
C5037,INDIVIDUAL,Grace Adler,US,Shipping,2026-03-15,2026-04-03,Low
C5038,INDIVIDUAL,Hannah Adler,UK,Food Processing,2026-03-21,2026-03-31,Medium
C5039,LEGAL_ENTITY,Highland Capital Ltd,UK,Manufacturing,2026-03-24,2026-03-20,Low
C5040,INDIVIDUAL,Henry Adler,UK,Education,2026-03-19,2026-04-01,Low
C5041,INDIVIDUAL,Hugo Adler,UK,Manufacturing,2026-04-04,2026-03-12,Low
C5042,LEGAL_ENTITY,Ironwood Capital SA,EU,Media,2026-04-04,2026-03-24,Low
C5043,INDIVIDUAL,Iris Adler,EU,Media,2026-03-13,2026-04-09,Low
C5044,INDIVIDUAL,Isaac Adler,Offshore,Technology,2026-03-26,2026-03-11,Medium
C5045,INDIVIDUAL,Jade Adler,Offshore,Wholesale Trade,2026-03-10,2026-03-13,Medium
C5046,LEGAL_ENTITY,Keystone Capital Inc,US,Energy Trading,2026-04-02,2026-03-27,Low
C5047,INDIVIDUAL,James Adler,UK,Education,2026-03-30,2026-03-22,Medium
C5048,LEGAL_ENTITY,Lighthouse Capital Corp,US,Luxury Goods,2026-03-30,2026-04-06,Low
C5049,INDIVIDUAL,Jasper Adler,US,Manufacturing,2026-03-28,2026-04-07,Low
C5050,INDIVIDUAL,Julia Adler,EU,Education,2026-04-08,2026-04-06,Low
C5051,INDIVIDUAL,Julian Adler,Offshore,Agribusiness,2026-03-26,2026-04-02,Low
C5052,INDIVIDUAL,Kara Adler,US,Professional Services,2026-03-14,2026-03-28,Low
C5053,LEGAL_ENTITY,Maple Capital LLP,UK,Software,2026-04-04,2026-04-04,Low
C5054,INDIVIDUAL,Kevin Adler,US,Healthcare Services,2026-04-05,2026-03-25,Low
C5055,LEGAL_ENTITY,Northbridge Capital SA,EU,Construction,2026-03-26,2026-03-23,Low
C5056,INDIVIDUAL,Lena Adler,US,Shipping,2026-03-24,2026-03-27,High
C5057,LEGAL_ENTITY,Oakridge Capital BV,EU,Private Investment,2026-03-11,2026-03-21,Medium
C5058,INDIVIDUAL,Leon Adler,US,Hospitality,2026-04-06,2026-03-22,Low
C5059,INDIVIDUAL,Liam Adler,EU,Real Estate,2026-03-11,2026-04-06,Low
C5060,INDIVIDUAL,Lila Adler,EU,Asset Management,2026-03-28,2026-03-26,Low
C5061,INDIVIDUAL,Lucas Adler,UK,Healthcare Services,2026-03-21,2026-03-11,Low
C5062,INDIVIDUAL,Mason Adler,Offshore,Professional Services,2026-03-15,2026-04-01,Low
C5063,INDIVIDUAL,Maya Adler,Offshore,Manufacturing,2026-03-12,2026-04-09,Medium
C5064,LEGAL_ENTITY,Pioneer Capital LLC,US,Luxury Goods,2026-03-28,2026-03-15,Low
C5065,LEGAL_ENTITY,PrimeArc Capital SA,EU,Technology,2026-03-31,2026-03-20,High
C5066,INDIVIDUAL,Mia Adler,US,Technology,2026-03-15,2026-04-01,Low
C5067,LEGAL_ENTITY,Quarry Capital LLP,UK,Healthcare,2026-03-29,2026-04-08,Low
C5068,LEGAL_ENTITY,Redwood Capital Inc,US,Mining Services,2026-03-25,2026-04-08,Medium
C5069,INDIVIDUAL,Naomi Adler,UK,Energy Trading,2026-03-20,2026-04-03,Low
C5070,LEGAL_ENTITY,Riverstone Capital Inc,US,Healthcare Services,2026-04-03,2026-03-29,Medium
C5071,INDIVIDUAL,Nathan Adler,US,Asset Management,2026-03-22,2026-04-04,Low
C5072,INDIVIDUAL,Nina Adler,US,Logistics,2026-03-27,2026-04-03,Low
C5073,LEGAL_ENTITY,Rosemont Capital LLP,UK,Shipping,2026-03-17,2026-03-24,Low
C5074,INDIVIDUAL,Noah Adler,Offshore,Pharmaceuticals,2026-03-22,2026-03-20,Low
C5075,LEGAL_ENTITY,Sable Capital SA,EU,Agribusiness,2026-04-05,2026-03-30,Low
C5076,INDIVIDUAL,Oliver Adler,US,Energy Trading,2026-03-30,2026-03-15,Low
C5077,LEGAL_ENTITY,Silvergate Capital LLC,US,Wholesale Trade,2026-03-26,2026-03-24,Low
C5078,LEGAL_ENTITY,Stonebridge Capital Corp,US,Logistics,2026-03-25,2026-03-13,Medium
C5079,INDIVIDUAL,Olivia Adler,UK,Private Investment,2026-03-31,2026-03-17,Low
C5080,INDIVIDUAL,Oscar Adler,EU,Insurance Brokerage,2026-03-14,2026-03-13,Medium
C5081,INDIVIDUAL,Priya Adler,US,Private Investment,2026-03-31,2026-03-27,Low
C5082,INDIVIDUAL,Quinn Adler,EU,Professional Services,2026-03-20,2026-04-06,Low
C5083,LEGAL_ENTITY,Summit Capital BV,EU,Professional Services,2026-03-21,2026-04-03,Low
C5084,LEGAL_ENTITY,Tamarind Capital Corp,US,Asset Management,2026-03-14,2026-03-20,Low
C5085,LEGAL_ENTITY,Trinity Capital LLC,US,Technology,2026-03-10,2026-03-27,Low
C5086,LEGAL_ENTITY,Valiant Capital Ltd,UK,Telecom,2026-03-19,2026-03-21,Medium
C5087,INDIVIDUAL,Rafael Adler,US,Retail,2026-04-02,2026-04-03,Low
C5088,LEGAL_ENTITY,Westhaven Capital LLP,UK,Agribusiness,2026-03-23,2026-04-07,Low
C5089,INDIVIDUAL,Rachel Adler,US,Asset Management,2026-03-30,2026-04-06,Low
C5090,LEGAL_ENTITY,Windward Capital LLC,US,Media,2026-04-08,2026-03-27,Low
C5091,LEGAL_ENTITY,Yarrow Capital LLC,US,Logistics,2026-04-05,2026-03-28,Low
C5092,INDIVIDUAL,Ruby Adler,US,Energy Trading,2026-03-17,2026-03-23,Low
C5093,INDIVIDUAL,Sofia Adler,UK,Asset Management,2026-03-25,2026-03-22,High
C5094,INDIVIDUAL,Stella Adler,EU,Private Investment,2026-03-29,2026-03-21,Low
C5095,LEGAL_ENTITY,Zenith Capital Inc,US,Pharmaceuticals,2026-03-22,2026-03-19,High
C5096,LEGAL_ENTITY,Larkspur Capital LLC,US,Consulting,2026-04-06,2026-03-23,Medium
C5097,INDIVIDUAL,Thomas Adler,EU,Media,2026-04-08,2026-03-26,High
C5098,INDIVIDUAL,Valeria Adler,Offshore,Wholesale Trade,2026-03-22,2026-03-17,Low
C5099,INDIVIDUAL,Victor Adler,US,Media,2026-04-05,2026-03-13,Low
C5100,INDIVIDUAL,Zoe Adler,EU,Energy Trading,2026-03-13,2026-04-07,Low
C5101,LEGAL_ENTITY,Meridian Capital BV,EU,Asset Management,2026-03-20,2026-03-29,Low
C5102,LEGAL_ENTITY,Northgate Capital LLC,US,Retail,2026-04-05,2026-03-27,Low
C5103,INDIVIDUAL,Aaron Almeida,EU,Media,2026-04-03,2026-03-11,Low
C5104,LEGAL_ENTITY,Crescent Capital BV,EU,Technology,2026-03-26,2026-03-13,High
C5105,LEGAL_ENTITY,Elmwood Capital LLP,UK,Construction,2026-03-25,2026-03-29,Low
C5106,LEGAL_ENTITY,Foxhall Capital LLP,UK,Telecom,2026-03-13,2026-03-24,Low
C5107,INDIVIDUAL,Alice Almeida,EU,Agribusiness,2026-04-02,2026-04-03,Medium
C5108,INDIVIDUAL,Amelia Almeida,EU,Luxury Goods,2026-03-29,2026-03-10,Low
C5109,LEGAL_ENTITY,Greenline Capital LLP,UK,Manufacturing,2026-03-12,2026-03-11,Medium
C5110,INDIVIDUAL,Andre Almeida,US,Agribusiness,2026-04-01,2026-04-09,Medium
C5111,LEGAL_ENTITY,Helix Capital LLP,UK,Retail,2026-03-10,2026-03-23,High
C5112,LEGAL_ENTITY,Inverness Capital LLP,UK,Energy,2026-04-01,2026-03-24,High
C5113,INDIVIDUAL,Angela Almeida,Offshore,Healthcare,2026-03-11,2026-03-24,Low
C5114,LEGAL_ENTITY,Jasper Capital SA,EU,Consulting,2026-03-31,2026-03-28,Low
C5115,INDIVIDUAL,Anita Almeida,US,Private Investment,2026-03-10,2026-03-16,Medium
C5116,LEGAL_ENTITY,Kingsley Capital LLP,UK,Telecom,2026-03-29,2026-03-28,Low
C5117,LEGAL_ENTITY,Linden Capital LLP,UK,Pharmaceuticals,2026-04-05,2026-03-16,Low
C5118,INDIVIDUAL,Arthur Almeida,Offshore,Agribusiness,2026-04-08,2026-03-14,Low
C5119,INDIVIDUAL,Bianca Almeida,EU,Real Estate,2026-03-15,2026-03-11,Low
C5120,LEGAL_ENTITY,Monarch Capital Ltd,UK,Logistics,2026-03-15,2026-03-13,High
C5121,LEGAL_ENTITY,Novaline Capital SA,EU,Import/Export,2026-03-23,2026-03-25,Low
C5122,LEGAL_ENTITY,Orion Capital SA,EU,Professional Services,2026-04-05,2026-04-02,Low
C5123,INDIVIDUAL,Caleb Almeida,US,Real Estate,2026-03-25,2026-03-23,High
C5124,LEGAL_ENTITY,Apex Advisors GmbH,EU,Energy,2026-04-08,2026-04-01,Low
C5125,LEGAL_ENTITY,Aster Advisors LLP,UK,Shipping,2026-03-18,2026-04-09,Low
C5126,INDIVIDUAL,Camila Almeida,US,Healthcare,2026-03-20,2026-03-18,Low
C5127,LEGAL_ENTITY,Bluecrest Advisors LLP,UK,Professional Services,2026-04-01,2026-03-12,Low
C5128,LEGAL_ENTITY,Bridgewater Advisors LLP,UK,Retail,2026-03-18,2026-03-28,Low
C5129,INDIVIDUAL,Carla Almeida,Offshore,Pharmaceuticals,2026-03-18,2026-03-17,Low
C5130,LEGAL_ENTITY,Cedar Advisors GmbH,EU,Hospitality,2026-03-26,2026-03-25,Low
C5131,LEGAL_ENTITY,Clearpath Advisors Ltd,UK,Agribusiness,2026-03-26,2026-03-29,Low
C5132,INDIVIDUAL,Carmen Almeida,US,Private Investment,2026-03-15,2026-03-17,Medium
C5133,INDIVIDUAL,Charlotte Almeida,Offshore,Agribusiness,2026-03-30,2026-03-29,High
C5134,INDIVIDUAL,Claire Almeida,UK,Mining Services,2026-03-19,2026-03-29,High
C5135,INDIVIDUAL,Daniel Almeida,US,Agribusiness,2026-03-17,2026-04-01,Low
C5136,INDIVIDUAL,Daria Almeida,US,Manufacturing,2026-04-04,2026-03-12,Low
C5137,LEGAL_ENTITY,Crown Advisors GmbH,EU,Real Estate,2026-03-30,2026-03-21,Low
C5138,LEGAL_ENTITY,Evergreen Advisors Corp,US,Logistics,2026-03-18,2026-03-20,Medium
C5139,INDIVIDUAL,Diego Almeida,Offshore,FinTech,2026-03-21,2026-03-21,Low
C5140,INDIVIDUAL,Dylan Almeida,UK,Shipping,2026-03-28,2026-03-22,Low
C5141,INDIVIDUAL,Elena Almeida,Offshore,Hospitality,2026-03-24,2026-03-23,Low
C5142,INDIVIDUAL,Elijah Almeida,UK,Shipping,2026-03-25,2026-04-08,Low
C5143,INDIVIDUAL,Emily Almeida,EU,Media,2026-04-01,2026-04-03,Medium
C5144,LEGAL_ENTITY,Falcon Advisors Ltd,UK,Media,2026-03-16,2026-04-03,Low
C5145,INDIVIDUAL,Emma Almeida,US,Media,2026-03-28,2026-03-25,Medium
C5146,INDIVIDUAL,Eva Almeida,Offshore,Private Investment,2026-03-25,2026-03-11,Low
C5147,LEGAL_ENTITY,Fortress Advisors BV,EU,Asset Management,2026-04-05,2026-03-13,Medium
C5148,LEGAL_ENTITY,Harbor Advisors LLP,UK,Manufacturing,2026-04-01,2026-03-31,Low
C5149,INDIVIDUAL,Felix Almeida,UK,Education,2026-03-11,2026-03-17,Low
C5150,INDIVIDUAL,Gabriel Almeida,EU,Technology,2026-04-02,2026-04-01,Low
C5151,INDIVIDUAL,Grace Almeida,US,Construction,2026-03-21,2026-03-20,Low
C5152,LEGAL_ENTITY,Highland Advisors SA,EU,Technology,2026-04-07,2026-04-07,Low
C5153,LEGAL_ENTITY,Ironwood Advisors BV,EU,FinTech,2026-03-10,2026-04-02,Low
C5154,INDIVIDUAL,Hannah Almeida,UK,Healthcare,2026-03-22,2026-03-17,High
C5155,LEGAL_ENTITY,Keystone Advisors Ltd,UK,Retail,2026-03-11,2026-04-04,Low
C5156,LEGAL_ENTITY,Lighthouse Advisors LLP,UK,Energy,2026-03-21,2026-03-22,Medium
C5157,INDIVIDUAL,Henry Almeida,UK,Mining Services,2026-04-04,2026-03-19,Low
C5158,INDIVIDUAL,Hugo Almeida,Offshore,Software,2026-03-21,2026-03-30,Low
C5159,LEGAL_ENTITY,Maple Advisors SA,EU,Media,2026-03-10,2026-04-01,Low
C5160,LEGAL_ENTITY,Northbridge Advisors Corp,US,Import/Export,2026-03-29,2026-03-31,Medium
C5161,INDIVIDUAL,Iris Almeida,US,Agribusiness,2026-03-21,2026-04-04,Low
C5162,INDIVIDUAL,Isaac Almeida,US,Hospitality,2026-03-27,2026-03-30,Low
